company_name,website,primary_category,subcategory,hq_country,status
Argo,argoproj.github.io,CI/CD,GitOps,US,active
Flux CD,fluxcd.io,CI/CD,GitOps,US,active
Tekton,tekton.dev,CI/CD,Pipeline Orchestration,US,active
Harness,harness.io,CI/CD,Software Delivery Platform,US,active
Dagger,dagger.io,CI/CD,Programmable CI/CD,US,active
Waypoint,waypointproject.io,CI/CD,Application Deployment,US,active
Woodpecker CI,woodpecker-ci.org,CI/CD,Continuous Integration,Germany,active
Drone CI,drone.io,CI/CD,Continuous Integration,US,active
Codefresh,codefresh.io,CI/CD,GitOps Platform,US,active
Buddy,buddy.works,CI/CD,Deployment Automation,Poland,active
OpenTofu,opentofu.org,Infrastructure,Infrastructure as Code,US,active
env0,env0.com,Infrastructure,IaC Automation,Israel,active
Crossplane,crossplane.io,Infrastructure,Control Plane,US,active
Cycloid,cycloid.io,Infrastructure,Platform Engineering,France,active
Qovery,qovery.com,Infrastructure,Internal Developer Platform,France,active
Massdriver,massdriver.cloud,Infrastructure,Cloud Operations,US,active
Nitric,nitric.io,Infrastructure,Cloud Framework,Australia,active
Winglang,winglang.io,Infrastructure,Cloud Programming Language,Israel,active
Ampt,getampt.com,Infrastructure,Cloud Development,US,active
Cilium,cilium.io,Cloud Native,Networking & Security,US,active
Istio,istio.io,Cloud Native,Service Mesh,US,active
Linkerd,linkerd.io,Cloud Native,Service Mesh,US,active
Envoy,envoyproxy.io,Cloud Native,Service Proxy,US,active
Dapr,dapr.io,Cloud Native,Application Runtime,US,active
NATS,nats.io,Cloud Native,Messaging,US,active
Knative,knative.dev,Cloud Native,Serverless on Kubernetes,US,active
KEDA,keda.sh,Cloud Native,Event-Driven Autoscaling,US,active
Falco,falco.org,Cloud Native,Runtime Security,Italy,active
Harbor,goharbor.io,Cloud Native,Container Registry,US,active
containerd,containerd.io,Cloud Native,Container Runtime,US,active
Helm,helm.sh,Cloud Native,Package Manager,US,active
Kyverno,kyverno.io,Cloud Native,Policy Management,US,active
OpenTelemetry,opentelemetry.io,Observability,Telemetry Framework,US,active
Jaeger,jaegertracing.io,Observability,Distributed Tracing,US,active
Prometheus,prometheus.io,Observability,Metrics,US,active
Fluentd,fluentd.org,Observability,Log Collection,US,active
cert-manager,cert-manager.io,Cloud Native,Certificate Management,UK,active
CoreDNS,coredns.io,Cloud Native,DNS Server,US,active
etcd,etcd.io,Cloud Native,Key-Value Store,US,active
Rook,rook.io,Cloud Native,Storage Orchestration,US,active
Vitess,vitess.io,Cloud Native,Database Clustering,US,active
TiKV,tikv.org,Cloud Native,Distributed Key-Value,China,active
Longhorn,longhorn.io,Cloud Native,Cloud Native Storage,US,active
Strimzi,strimzi.io,Cloud Native,Kafka on Kubernetes,UK,active
Chaos Mesh,chaos-mesh.org,Cloud Native,Chaos Engineering,China,active
Litmus,litmuschaos.io,Cloud Native,Chaos Engineering,India,active
OpenCost,opencost.io,Cloud Native,Cost Monitoring,US,active
KubeVirt,kubevirt.io,Cloud Native,VM on Kubernetes,US,active
wasmCloud,wasmcloud.com,Cloud Native,WebAssembly Runtime,US,active
CloudNativePG,cloudnative-pg.io,Cloud Native,PostgreSQL Operator,Italy,active
SpinKube,spinkube.dev,Cloud Native,WebAssembly on Kubernetes,US,active
Drasi,drasi.io,Cloud Native,Change Detection,US,active
Keycloak,keycloak.org,Auth,Identity & Access Management,US,active
OpenFGA,openfga.dev,Auth,Fine-Grained Authorization,US,active
Kubescape,kubescape.io,Security,Kubernetes Security,Israel,active
Cloud Custodian,cloudcustodian.io,Cloud Native,Cloud Governance,US,active
Contour,projectcontour.io,Cloud Native,Ingress Controller,US,active
Volcano,volcano.sh,Cloud Native,Batch Scheduling,China,active
KServe,kserve.io,AI/ML,Model Serving,US,active
Kubeflow,kubeflow.org,AI/ML,ML Platform,US,active
Graylog,graylog.org,Observability,Log Management,US,active
Sumo Logic,sumologic.com,Observability,Cloud SIEM & Observability,US,active
Coralogix,coralogix.com,Observability,Observability Platform,Israel,active
Logz.io,logz.io,Observability,Open Source Observability,Israel,active
Axiom,axiom.co,Observability,Log Management,US,active
Mezmo,mezmo.com,Observability,Telemetry Pipeline,US,active
Groundcover,groundcover.com,Observability,eBPF Observability,Israel,active
SolarWinds,solarwinds.com,Observability,IT Monitoring,US,active
AppDynamics,appdynamics.com,Observability,Application Performance,US,active
Weights & Biases,wandb.com,AI/ML,MLOps Platform,US,active
MLflow,mlflow.org,AI/ML,ML Lifecycle,US,active
Neptune.ai,neptune.ai,AI/ML,Experiment Tracking,Poland,active
ClearML,clear.ml,AI/ML,MLOps Platform,Israel,active
DVC,dvc.org,AI/ML,Data Version Control,US,active
Aim,aimstack.io,AI/ML,Experiment Tracking,US,active
TrueFoundry,truefoundry.com,AI/ML,ML Deployment,India,active
Determined AI,determined.ai,AI/ML,Model Training,US,active
Anyscale,anyscale.com,AI/ML,Distributed Computing,US,active
Humanloop,humanloop.com,AI/ML,LLM Evaluation,UK,active
Braintrust,braintrust.dev,AI/ML,AI Evaluation,US,active
Arize AI,arize.com,AI/ML,ML Observability,US,active
Vellum,vellum.ai,AI/ML,AI Development Platform,US,active
PromptLayer,promptlayer.com,AI/ML,Prompt Management,US,active
LlamaIndex,llamaindex.ai,AI/ML,Data Framework for LLMs,US,active
CrewAI,crewai.com,AI/ML,Multi-Agent Framework,US,active
AutoGen,microsoft.github.io/autogen,AI/ML,Multi-Agent Framework,US,active
Haystack,haystack.deepset.ai,AI/ML,NLP Framework,Germany,active
Portkey,portkey.ai,AI/ML,AI Gateway,India,active
LiteLLM,litellm.ai,AI/ML,LLM Proxy,US,active
Instructor,useinstructor.com,AI/ML,Structured LLM Output,US,active
Pydantic,pydantic.dev,AI/ML,Data Validation,US,active
Qdrant,qdrant.tech,Database,Vector Database,Germany,active
Chroma,trychroma.com,Database,Vector Database,US,active
Milvus,milvus.io,Database,Vector Database,US,active
LanceDB,lancedb.com,Database,Vector Database,US,active
Marqo,marqo.ai,Database,Vector Search,Australia,active
Zilliz,zilliz.com,Database,Vector Database Cloud,US,active
SurrealDB,surrealdb.com,Database,Multi-Model Database,UK,active
EdgeDB,edgedb.com,Database,Graph-Relational Database,US,active
Dolt,dolthub.com,Database,Version-Controlled Database,US,active
RisingWave,risingwave.com,Database,Streaming Database,US,active
Materialize,materialize.com,Database,Streaming SQL,US,active
MotherDuck,motherduck.com,Database,Serverless Analytics,US,active
StarRocks,starrocks.io,Database,OLAP Database,US,active
Nile,thenile.dev,Database,Serverless Postgres,US,active
Tembo,tembo.io,Database,Managed Postgres,US,active
Hydra,hydra.so,Database,Postgres for Analytics,US,active
Firecrawl,firecrawl.dev,Data,Web Scraping API,US,active
Crawlee,crawlee.dev,Data,Web Crawling Framework,Czechia,active
Bright Data,brightdata.com,Data,Web Data Platform,Israel,active
Oxylabs,oxylabs.io,Data,Web Scraping Infrastructure,Lithuania,active
Browserless,browserless.io,Data,Headless Browser API,US,active
Linear,linear.app,Developer Tools,Issue Tracking,US,active
Shortcut,shortcut.com,Developer Tools,Project Management,US,active
Height,height.app,Developer Tools,AI Project Management,US,active
Plane,plane.so,Developer Tools,Project Management,India,active
Raycast,raycast.com,Developer Tools,Productivity Launcher,UK,active
