company_name,website,primary_category,subcategory,hq_country,status
OpenTofu,opentofu.org,Infrastructure & DevOps,Infrastructure as Code,US,active
Crossplane,crossplane.io,Infrastructure & DevOps,Infrastructure as Code,US,active
Ansible,ansible.com,Infrastructure & DevOps,Infrastructure as Code,US,active
AWS CloudFormation,aws.amazon.com/cloudformation,Infrastructure & DevOps,Infrastructure as Code,US,active
Vagrant,vagrantup.com,Infrastructure & DevOps,Infrastructure as Code,US,active
Terragrunt,terragrunt.gruntwork.io,Infrastructure & DevOps,Infrastructure as Code,US,active
Nitric,nitric.io,Infrastructure & DevOps,Infrastructure as Code,Australia,active
Winglang,winglang.io,Infrastructure & DevOps,Infrastructure as Code,Israel,active
Rancher,rancher.com,Infrastructure & DevOps,Kubernetes Management,US,active
Lens,k8slens.dev,Infrastructure & DevOps,Kubernetes Management,Finland,active
K9s,k9scli.io,Infrastructure & DevOps,Kubernetes Management,US,active
DevSpace,devspace.sh,Infrastructure & DevOps,Kubernetes Management,Germany,active
Devtron,devtron.ai,Infrastructure & DevOps,Kubernetes Management,India,active
vCluster,vcluster.com,Infrastructure & DevOps,Kubernetes Management,US,active
OpenCost,opencost.io,Infrastructure & DevOps,Kubernetes Cost Management,US,active
Portainer,portainer.io,Infrastructure & DevOps,Container Management,New Zealand,active
Codefresh,codefresh.io,Infrastructure & DevOps,CI/CD,US,active
Argo CD,argoproj.github.io/cd,Infrastructure & DevOps,GitOps,US,active
Flux CD,fluxcd.io,Infrastructure & DevOps,GitOps,Sweden,active
Tekton,tekton.dev,Infrastructure & DevOps,CI/CD,US,active
Drone CI,drone.io,Infrastructure & DevOps,CI/CD,US,active
Harness,harness.io,Infrastructure & DevOps,CI/CD,US,active
Spinnaker,spinnaker.io,Infrastructure & DevOps,CI/CD,US,active
Bunnyshell,bunnyshell.com,Infrastructure & DevOps,Environment Management,Romania,active
Skaffold,skaffold.dev,Infrastructure & DevOps,Kubernetes Development,US,active
Tilt,tilt.dev,Infrastructure & DevOps,Kubernetes Development,US,active
Garden,garden.io,Infrastructure & DevOps,Kubernetes Development,Sweden,active
