company_name,website,primary_category,subcategory,hq_country,status
CodeParrot,codeparrot.ai,code-assistants,ai-coding,France,active
CodeSquire,codesquire.ai,code-assistants,ai-coding,USA,active
IntelliCode,visualstudio.microsoft.com/services/intellicode,code-assistants,ai-coding,USA,active
Abstra,abstra.io,no-code-low-code,automation,Brazil,active
Lilbots,lilbots.io,no-code-low-code,automation,USA,active
AWS Cognito,aws.amazon.com/cognito,identity-auth,authentication,USA,active
Keycloak,keycloak.org,identity-auth,authentication,USA,active
Authgear,authgear.com,identity-auth,authentication,Hong Kong,active
SkyCloak,skycloak.io,identity-auth,authentication,USA,active
Authologic,authologic.com,identity-auth,identity-orchestration,Poland,active
DebuggAI,debugg.ai,code-assistants,debugging,USA,active
Sonar,sonarsource.com,security-scanning,code-quality,Switzerland,active
CloudSight,cloudsight.ai,ai-api-sdk,computer-vision,USA,active
Google Vision AI,cloud.google.com/vision,ai-api-sdk,computer-vision,USA,active
Airtable,airtable.com,dbaas,spreadsheet-database,USA,active
Apitable,apitable.com,dbaas,spreadsheet-database,Singapore,active
Neuledge,neuledge.com,dbaas,schema-management,Israel,active
Linear,linear.app,ci-cd,issue-tracking,Finland,active
Adaptable,adaptable.io,backend-as-a-service,deployment,Portugal,active
Beam,beam.cloud,backend-as-a-service,serverless-compute,USA,active
Cycle.io,cycle.io,backend-as-a-service,container-platform,France,active
Heroku,heroku.com,backend-as-a-service,deployment,USA,active
Platform.sh,platform.sh,backend-as-a-service,deployment,France,active
Propel Data,propeldata.com,product-analytics,data-analytics,USA,active
Qoddi,qoddi.com,backend-as-a-service,deployment,USA,active
Quix,quix.io,data-integration-etl,stream-processing,UK,active
Bazaarvoice,bazaarvoice.com,product-analytics,reviews-ugc,USA,active
Commento,commento.io,product-analytics,comments,USA,active
DeveloperHub,developerhub.io,api-management,documentation,USA,active
EnvKey,envkey.com,secrets-management,environment-management,USA,active
KeyHippo,keyhippo.com,secrets-management,api-key-management,USA,active
Ubiq Security,ubiqsecurity.com,secrets-management,encryption,USA,active
Horizon UI,horizon-ui.com,no-code-low-code,ui-framework,USA,active
AI SDK by Vercel,ai-sdk.dev,ai-api-sdk,ai-framework,USA,active
OneCompiler,onecompiler.com,code-assistants,ide,India,active
Kite,kite.com,code-assistants,ai-coding,USA,active
Pulumi,pulumi.com,ci-cd,infrastructure-as-code,USA,active
Terraform,hashicorp.com/products/terraform,ci-cd,infrastructure-as-code,USA,active
Metorial,metorial.com,data-integration-etl,integrations,USA,active
Revert,revert.dev,data-integration-etl,integrations,India,active
Vessel,vessel.dev,data-integration-etl,integrations,USA,active
YepCode,yepcode.io,data-integration-etl,integrations,Spain,active
Anymail Finder,anymailfinder.com,messaging-api,email-tools,UK,active
Heybounce,heybounce.io,messaging-api,email-verification,USA,active
Hunter.io,hunter.io,messaging-api,email-tools,France,active
Imitate Email,imitate.email,messaging-api,email-testing,UK,active
Zyntra,zyntra.app,messaging-api,email-api,USA,active
APITemplate.io,apitemplate.io,object-storage-media,document-generation,Singapore,active
Pintura,pqina.nl/pintura,object-storage-media,image-editor,Netherlands,active
Actyx,actyx.com,realtime-websocket,edge-computing,Germany,active
Docusign,developers.docusign.com,api-management,e-signature-api,USA,active
SignatureAPI,signatureapi.com,api-management,e-signature-api,USA,active
Trophy,trophy.so,product-analytics,gamification,USA,active
Propexo,propexo.com,data-integration-etl,property-api,USA,active
KeenIO,keen.io,product-analytics,analytics-api,USA,active
Quivr,quivr.com,ai-api-sdk,rag-platform,France,active
DialogFlow,cloud.google.com/dialogflow,ai-api-sdk,nlp-chatbot,USA,active
AWS Step Functions,aws.amazon.com/step-functions,ci-cd,orchestration,USA,active
Buildstash,buildstash.com,ci-cd,artifact-repository,USA,active
Image-Charts,image-charts.com,object-storage-media,chart-generation,France,active
PDFBlade,pdfblade.com,object-storage-media,pdf-generation,USA,active
browserless,browserless.io,test-automation,browser-automation,USA,active
Corsfix,corsfix.com,api-management,cors-proxy,USA,active
Crawlbase,proxycrawl.com,data-integration-etl,web-scraping,USA,active
Proxy Sentinel,proxysentinel.io,data-integration-etl,proxy-service,USA,active
ScrapingANT,scrapingant.com,data-integration-etl,web-scraping,USA,active
SearchApi,searchapi.io,search-recommendations,search-api,USA,active
SerpApi,serpapi.com,search-recommendations,search-api,USA,active
WebScrapingHQ,webscrapinghq.com,data-integration-etl,web-scraping,USA,active
BitDive,bitdive.io,test-automation,testing,USA,active
Coval,coval.dev,test-automation,ai-testing,USA,active
Synth AI,usesynth.ai,test-automation,synthetic-testing,USA,active
Testim,testim.io,test-automation,testing,USA,active
Razorpay,razorpay.com,payment-gateway,payment-processing,India,active
Routable,routable.com,payment-gateway,payouts,USA,active
FastPix,fastpix.io,object-storage-media,video-api,USA,active
Gumlet,gumlet.com,object-storage-media,media-optimization,India,active
SurrealDB,surrealdb.com,dbaas,multi-model-database,UK,active
Redpanda,redpanda.com,data-integration-etl,event-streaming,USA,active
Coolify,coolify.io,backend-as-a-service,self-hosted-paas,Hungary,active
authentik,goauthentik.com,identity-auth,identity-provider,Germany,active
Gitea,gitea.com,ci-cd,git-hosting,China,active
Drone CI,drone.io,ci-cd,continuous-integration,USA,active
Argo CD,argoproj.github.io,ci-cd,gitops-cd,USA,active
Beszel,beszel.dev,observability,server-monitoring,USA,active
Harness,harness.io,ci-cd,continuous-delivery,USA,active
Factory,factory.ai,code-assistants,ai-agents,USA,active
Chainguard,chainguard.dev,security-scanning,container-security,USA,active
Baseten,baseten.co,ai-api-sdk,model-inference,USA,active
SRE.ai,sre.ai,observability,site-reliability,USA,active
Weights and Biases,wandb.ai,ai-api-sdk,ml-experiment-tracking,USA,active
Blacksmith,blacksmith.sh,ci-cd,cloud-build,USA,active
Qwiet AI,qwiet.ai,security-scanning,application-security,USA,active
TrueLayer,truelayer.com,payment-gateway,open-banking-api,UK,active
Merge,merge.dev,data-integration-etl,unified-api,USA,active
Apollo GraphQL,apollographql.com,api-management,graphql,USA,active
Sedai,sedai.io,observability,cloud-operations,USA,active
Docker,docker.com,ci-cd,containerization,USA,active
Liquibase,liquibase.com,dbaas,database-change-management,USA,active
Tetrate,tetrate.io,api-management,service-mesh,USA,active
Cube Dev,cube.dev,product-analytics,analytics-api,USA,active
Galileo AI,galileo.ai,code-assistants,ai-ui-generation,USA,active
Tonic.ai,tonic.ai,test-automation,test-data,USA,active
Builder.io,builder.io,no-code-low-code,visual-development,USA,active
Superblocks,superblocks.com,no-code-low-code,internal-tools,USA,active
Arcade.dev,arcade.dev,ai-api-sdk,ai-automation,USA,active
BotCity,botcity.dev,no-code-low-code,rpa-automation,Brazil,active
Dotfile,dotfile.com,kyc-kyb-aml,kyc-onboarding,France,active
OutSystems,outsystems.com,no-code-low-code,low-code-platform,Portugal,active
Secure Code Warrior,securecodewarrior.com,security-scanning,secure-coding-training,Australia,active
Civo,civo.com,backend-as-a-service,kubernetes-cloud,UK,active
Moralis,moralis.io,backend-as-a-service,web3-api,Sweden,active
Storyblok,storyblok.com,no-code-low-code,headless-cms,Austria,active
Diffblue,diffblue.com,test-automation,ai-testing,UK,active
42Crunch,42crunch.com,security-scanning,api-security,UK,active
Memgraph,memgraph.com,dbaas,graph-database,UK,active
Cast.ai,cast.ai,observability,cloud-cost-optimization,USA,active
LlamaIndex,llamaindex.ai,ai-api-sdk,llm-framework,USA,active
Dust,dust.tt,ai-api-sdk,ai-productivity,France,active
Bubble,bubble.io,no-code-low-code,app-builder,USA,active
Zeroheight,zeroheight.com,api-management,design-system-docs,UK,active
Rerun,rerun.io,ai-api-sdk,visualization,Sweden,active
CrowdSec,crowdsec.net,security-scanning,threat-protection,France,active
Deepnote,deepnote.com,ai-api-sdk,data-science-notebook,USA,active
HyperDX,hyperdx.io,observability,open-source-observability,USA,active
Bugsink,bugsink.com,crash-reporting,error-tracking,Netherlands,active
TrackJS,trackjs.com,crash-reporting,javascript-error-tracking,USA,active
Atatus,atatus.com,apm,application-monitoring,India,active
GhostInspector,ghostinspector.com,test-automation,browser-testing,USA,active
Autonoma AI,getautonoma.com,test-automation,ai-testing,USA,active
Virtuoso QA,virtuoso.qa,test-automation,ai-testing,UK,active
BugBug,bugbug.io,test-automation,browser-testing,Poland,active
TestGrid,testgrid.io,test-automation,cloud-testing,India,active
Chatwoot,chatwoot.com,customer-support-sdk,open-source-support,India,active
Help Scout,helpscout.com,customer-support-sdk,helpdesk,USA,active
Schematic,schematichq.com,feature-flags,feature-management,USA,active
DevCycle,devcycle.com,feature-flags,feature-management,Canada,active
FeatBit,featbit.co,feature-flags,feature-management,China,active
Swetrix,swetrix.com,product-analytics,web-analytics,UK,active
AutoLocalise,autolocalise.com,localization,ai-translation,UK,active
better-i18n,better-i18n.com,localization,translation-management,Germany,active
Ondato,ondato.com,kyc-kyb-aml,identity-verification,Lithuania,active
SEON,seon.io,fraud-risk-management,fraud-detection,Hungary,active
Entrust IDV,entrust.com,kyc-kyb-aml,identity-verification,USA,active
WaveSpeedAI,wavespeed.ai,content-moderation,ai-moderation,USA,active
Lasso Moderation,lassomoderation.com,content-moderation,content-safety,UK,active
Polytomic,polytomic.com,data-integration-etl,data-sync,USA,active
Talend,talend.com,data-integration-etl,data-integration,France,active
AWS Glue,aws.amazon.com/glue,data-integration-etl,managed-etl,USA,active
Skyvia,skyvia.com,data-integration-etl,cloud-integration,USA,active
DreamFactory,dreamfactory.com,api-management,auto-api,USA,active
Membrane,getmembrane.com,data-integration-etl,ai-integration,USA,active
Ampersand,withampersand.com,data-integration-etl,unified-api,USA,active
Unified.to,unified.to,data-integration-etl,unified-api,USA,active
Kombo,kombo.dev,data-integration-etl,hr-unified-api,Germany,active
Boomi,boomi.com,data-integration-etl,ipaas,USA,active
Make,make.com,data-integration-etl,automation,Czech Republic,active
Zapier,zapier.com,data-integration-etl,automation,USA,active
Scaledrone,scaledrone.com,realtime-websocket,realtime-messaging,Croatia,active
Prelude,prelude.so,messaging-api,otp-verification,France,active
Notifyre,notifyre.com,messaging-api,sms-api,Australia,active
Wati,wati.io,messaging-api,whatsapp-api,Hong Kong,active
Oneleet,oneleet.com,compliance-automation,security-compliance,USA,active
Probo,getprobo.com,compliance-automation,compliance-management,France,active
Scytale,scytale.ai,compliance-automation,compliance-automation,Israel,active
Legit Security,legitsecurity.com,security-scanning,appsec-platform,Israel,active
Fungies,fungies.io,subscription-billing,subscription-platform,Germany,active
LedgerUp,ledgerup.ai,invoicing-taxes,billing-platform,USA,active
Crystallize,crystallize.com,subscription-billing,subscription-commerce,Norway,active
Mistral AI,mistral.ai,ai-api-sdk,llm-provider,France,active
Inference.net,inference.net,ai-api-sdk,llm-inference,USA,active
OpenRouter,openrouter.ai,ai-api-sdk,llm-routing,USA,active
LiteLLM,litellm.ai,ai-api-sdk,llm-proxy,USA,active
LM Studio,lmstudio.ai,ai-api-sdk,local-llm,USA,active
Chatter,chatter.dev,ai-api-sdk,llm-testing,USA,active
Cardboard,cardboard.inc,code-assistants,ai-dev-tools,USA,active
Scott AI,scott.ai,code-assistants,ai-spec-agent,USA,active
Zatanna,zatanna.dev,ai-api-sdk,agent-api,USA,active
Opper AI,opper.ai,ai-api-sdk,ai-infrastructure,Sweden,active
Avo,avo.app,product-analytics,analytics-governance,USA,active
Comet ML,comet.com,ai-api-sdk,ml-experiment-tracking,USA,active
Deci AI,deci.ai,ai-api-sdk,model-optimization,Israel,active
Supernova,supernova.io,no-code-low-code,design-system,Czech Republic,active
PixieBrix,pixiebrix.com,no-code-low-code,browser-automation,USA,active
Vantage,vantage.sh,observability,cloud-cost-management,USA,active
CloudZero,cloudzero.com,observability,cloud-cost-intelligence,USA,active
MetalBear,metalbear.co,test-automation,api-testing,Israel,active
Alloy Automation,runalloy.com,data-integration-etl,automation,USA,active
Testlio,testlio.com,test-automation,crowdtesting,USA,active
Quintype,quintype.com,no-code-low-code,headless-cms,India,active
NewsCatcher,newscatcherapi.com,data-integration-etl,news-api,France,active
Tenderly,tenderly.co,backend-as-a-service,blockchain-dev,Serbia,active
Hadean,hadean.com,backend-as-a-service,cloud-computing,UK,active
Copado,copado.com,ci-cd,salesforce-devops,USA,active
Gearset,gearset.com,ci-cd,salesforce-devops,UK,active
SimScale,simscale.com,no-code-low-code,simulation,Germany,active
Framer,framer.com,no-code-low-code,web-design,Netherlands,active
Anysphere,anysphere.inc,code-assistants,ai-coding-lab,USA,active
Crossmint,crossmint.com,payment-gateway,crypto-payments,USA,active
QuickNode,quicknode.com,backend-as-a-service,blockchain-infra,USA,active
Magic Link,magic.link,identity-auth,wallet-auth,USA,active
Pump,pump.co,observability,cloud-cost-saving,USA,active
Bezi,bezi.com,no-code-low-code,3d-design,USA,active
Rosebud AI,rosebud.ai,ai-api-sdk,creative-ai,USA,active
BigPanda,bigpanda.io,observability,it-operations,USA,active
Typeform,typeform.com,no-code-low-code,form-builder,Spain,active
Jedox,jedox.com,product-analytics,enterprise-planning,Germany,active
ViSenze,visenze.com,ai-api-sdk,visual-search,Singapore,active
Gatsby,gatsbyjs.com,backend-as-a-service,web-framework,USA,active
